# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -0.003; -0.269; 0.269
3.0; 0.480; -0.002; -0.245; 0.245
6.0; 0.959; -0.002; -0.227; 0.227
9.0; 1.440; -0.001; -0.214; 0.214
12.0; 1.920; -0.001; -0.206; 0.206
15.0; 2.400; 0.000; -0.195; 0.195
18.0; 2.879; 0.003; -0.169; 0.169
21.0; 3.358; 0.008; -0.113; 0.113
24.0; 3.837; 0.016; -0.000; 0.016
27.0; 4.317; 0.025; 0.195; 0.197
30.0; 4.804; 0.030; 0.497; 0.498
33.0; 5.298; 0.021; 0.892; 0.892
36.0; 5.783; -0.020; 1.416; 1.416
39.0; 6.218; -0.086; 1.925; 1.927
42.0; 6.597; -0.156; 2.260; 2.266
45.0; 6.996; -0.211; 2.448; 2.458
48.0; 7.451; -0.215; 2.475; 2.484
51.0; 7.930; -0.176; 2.264; 2.271
54.0; 8.412; -0.120; 1.844; 1.848
57.0; 8.892; -0.078; 1.456; 1.458
60.0; 9.374; -0.049; 1.135; 1.136
63.0; 9.858; -0.030; 0.945; 0.946
66.0; 10.323; -0.022; 0.926; 0.926
69.0; 10.750; -0.025; 1.059; 1.059
72.0; 11.169; -0.043; 1.264; 1.265
75.0; 11.615; -0.069; 1.459; 1.461
78.0; 12.086; -0.092; 1.662; 1.665
81.0; 12.566; -0.083; 1.582; 1.584
84.0; 13.046; -0.061; 1.373; 1.375
87.0; 13.526; -0.036; 1.078; 1.078
90.0; 14.005; -0.018; 0.802; 0.802
93.0; 14.485; -0.007; 0.547; 0.547
96.0; 14.965; -0.001; 0.336; 0.336
99.0; 15.445; 0.001; 0.168; 0.168
102.0; 15.925; 0.001; 0.039; 0.039
105.0; 16.405; 0.001; -0.060; 0.061
108.0; 16.884; 0.000; -0.140; 0.140
111.0; 17.364; -0.001; -0.210; 0.210
114.0; 17.843; -0.002; -0.276; 0.276
117.0; 18.323; -0.004; -0.340; 0.340
120.0; 18.803; -0.005; -0.398; 0.398
123.0; 19.284; -0.003; -0.440; 0.440
126.0; 19.766; 0.006; -0.437; 0.437
129.0; 20.247; 0.028; -0.332; 0.333
132.0; 20.729; 0.062; -0.006; 0.063
135.0; 21.213; 0.086; 0.749; 0.753
138.0; 21.702; 0.021; 2.024; 2.024
141.0; 22.173; -0.173; 3.181; 3.186
144.0; 22.610; -0.419; 3.956; 3.978
147.0; 23.021; -0.592; 4.404; 4.443
150.0; 23.418; -0.702; 4.664; 4.716
153.0; 23.810; -0.784; 4.812; 4.875
156.0; 24.204; -0.787; 4.865; 4.928
159.0; 24.597; -0.851; 4.812; 4.886
162.0; 25.001; -0.947; 5.071; 5.159
165.0; 25.455; -0.646; 4.527; 4.572
168.0; 25.949; -0.136; 2.553; 2.556
171.0; 26.433; 0.126; 0.479; 0.495
174.0; 26.875; 0.122; -0.810; 0.819
177.0; 27.287; -0.017; -1.644; 1.644
180.0; 27.713; -0.200; -2.531; 2.539
183.0; 28.176; -0.128; -2.791; 2.794
186.0; 28.669; 0.142; 0.064; 0.156
189.0; 29.165; 0.110; 1.923; 1.926
192.0; 29.628; -0.113; 3.008; 3.010
195.0; 30.027; -0.313; 3.625; 3.639
198.0; 30.411; -0.445; 3.834; 3.860
201.0; 30.848; -0.661; 4.409; 4.458
204.0; 31.329; -0.485; 4.305; 4.332
207.0; 31.817; 0.060; 0.248; 0.255
210.0; 32.282; 0.135; -1.551; 1.557
213.0; 32.714; -0.094; -2.848; 2.850
216.0; 33.127; -0.912; -3.486; 3.604
219.0; 33.545; -0.543; -3.929; 3.967
222.0; 33.980; 0.046; -4.456; 4.456
225.0; 34.431; -0.676; -4.533; 4.583
228.0; 34.892; -0.767; -4.625; 4.688
231.0; 35.353; -0.747; -4.568; 4.629
234.0; 35.812; -0.588; -4.064; 4.106
237.0; 36.269; -0.392; -3.287; 3.311
240.0; 36.726; -0.244; -2.562; 2.573
243.0; 37.185; -0.147; -1.950; 1.956
246.0; 37.643; -0.091; -1.564; 1.567
249.0; 38.096; -0.065; -1.442; 1.444
252.0; 38.541; -0.063; -1.523; 1.525
255.0; 38.978; -0.090; -1.748; 1.750
258.0; 39.410; -0.124; -1.941; 1.945
261.0; 39.846; -0.137; -1.978; 1.982
264.0; 40.292; -0.137; -1.963; 1.968
267.0; 40.745; -0.129; -1.914; 1.918
270.0; 41.205; -0.112; -1.824; 1.827
273.0; 41.672; -0.079; -1.581; 1.582
276.0; 42.145; -0.044; -1.288; 1.288
279.0; 42.623; -0.013; -0.967; 0.967
282.0; 43.105; 0.014; -0.627; 0.627
285.0; 43.588; 0.035; -0.251; 0.254
288.0; 44.070; 0.049; 0.198; 0.204
291.0; 44.543; 0.044; 0.757; 0.758
294.0; 45.003; 0.013; 1.376; 1.376
297.0; 45.443; -0.059; 2.009; 2.010
300.0; 45.865; -0.150; 2.489; 2.493
303.0; 46.272; -0.242; 2.809; 2.819
306.0; 46.684; -0.316; 3.005; 3.021
309.0; 47.126; -0.318; 2.963; 2.980
312.0; 47.590; -0.259; 2.650; 2.663
315.0; 48.059; -0.191; 2.265; 2.273
318.0; 48.524; -0.134; 1.969; 1.973
321.0; 48.980; -0.101; 1.961; 1.964
324.0; 49.426; -0.115; 2.311; 2.314
327.0; 49.863; -0.180; 2.825; 2.831
330.0; 50.295; -0.290; 3.303; 3.316
333.0; 50.717; -0.394; 3.590; 3.612
