# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; -0.01559; 58.1; -12.7; -21.8
3.0; 0.480; -0.01344; 48.3; -3.0; -20.2
6.0; 0.959; -0.01060; 46.9; -1.7; -19.0
9.0; 1.440; -0.00635; 46.9; -1.7; -18.3
12.0; 1.920; 0.00029; 160.2; -114.9; -17.3
15.0; 2.400; 0.01037; 165.8; -120.2; -15.0
18.0; 2.879; 0.02493; 166.5; -120.0; -10.0
21.0; 3.358; 0.04477; 167.8; -119.2; -0.0
24.0; 3.837; 0.07011; 170.0; -117.6; 17.3
27.0; 4.317; 0.10013; 173.4; -115.3; 44.2
30.0; 4.804; 0.13233; 64.8; -0.0; 79.2
33.0; 5.298; 0.16173; 70.5; -0.0; 125.8
36.0; 5.783; 0.18146; 72.3; -0.0; 171.0
39.0; 6.218; 0.18635; 66.5; -0.0; 200.8
42.0; 6.597; 0.17419; 54.8; -0.0; 217.5
45.0; 6.996; 0.15197; 47.6; -0.0; 219.9
48.0; 7.451; 0.12656; 165.7; -120.7; 201.1
51.0; 7.930; 0.10442; 165.6; -120.7; 163.8
54.0; 8.412; 0.08962; 166.2; -120.3; 129.3
57.0; 8.892; 0.08379; 167.2; -119.6; 100.8
60.0; 9.374; 0.08660; 168.4; -118.7; 84.0
63.0; 9.858; 0.09580; 169.9; -117.6; 82.2
66.0; 10.323; 0.10704; 54.5; -0.1; 94.1
69.0; 10.750; 0.11522; 54.6; -0.0; 112.3
72.0; 11.169; 0.11550; 52.1; -0.0; 129.6
75.0; 11.615; 0.10367; 47.5; -0.0; 147.7
78.0; 12.086; 0.08535; 44.9; -0.1; 140.5
81.0; 12.566; 0.06509; 165.0; -121.0; 122.0
84.0; 13.046; 0.04581; 165.1; -121.0; 95.7
87.0; 13.526; 0.02903; 165.3; -120.8; 71.2
90.0; 14.005; 0.01525; 165.4; -120.5; 48.6
93.0; 14.485; 0.00435; 164.9; -119.7; 29.8
96.0; 14.965; -0.00412; 50.1; -4.7; 15.0
99.0; 15.445; -0.01074; 47.4; -1.8; 3.5
102.0; 15.925; -0.01602; 47.0; -1.4; -5.4
105.0; 16.405; -0.02025; 46.7; -1.0; -12.5
108.0; 16.884; -0.02337; 46.3; -0.6; -18.7
111.0; 17.364; -0.02492; 46.0; -0.3; -24.5
114.0; 17.843; -0.02396; 45.7; -0.2; -30.2
117.0; 18.323; -0.01900; 45.4; -0.2; -35.4
120.0; 18.803; -0.00809; 45.4; -0.3; -39.1
123.0; 19.284; 0.01114; 166.1; -120.2; -38.9
126.0; 19.766; 0.04126; 168.2; -118.9; -29.5
129.0; 20.247; 0.08475; 173.6; -115.2; -0.5
132.0; 20.729; 0.14341; 185.2; -108.0; 66.5
135.0; 21.213; 0.21553; 205.9; -97.1; 179.8
138.0; 21.702; 0.28753; 142.0; -0.0; 282.6
141.0; 22.173; 0.34240; 160.5; -0.0; 351.4
144.0; 22.610; 0.37871; 167.8; 0.0; 391.2
147.0; 23.021; 0.40082; 169.0; 0.0; 414.3
150.0; 23.418; 0.41083; 162.6; 0.0; 427.5
153.0; 23.810; 0.40491; 150.1; 0.0; 432.2
156.0; 24.204; 0.36971; 97.9; -0.0; 427.5
159.0; 24.597; 0.28802; 23.4; -0.0; 450.5
162.0; 25.001; 0.17167; 5.1; -0.0; 402.1
165.0; 25.455; 0.04559; 158.5; -126.2; 226.8
168.0; 25.949; -0.06358; 65.6; -0.0; 42.5
171.0; 26.433; -0.13747; 83.9; -0.0; -72.0
174.0; 26.875; -0.16694; 76.3; -0.0; -146.1
177.0; 27.287; -0.14104; 46.7; -0.0; -224.9
180.0; 27.713; -0.04995; 35.5; -0.0; -247.9
183.0; 28.176; 0.07662; 72.7; -0.4; 5.7
186.0; 28.669; 0.19270; 119.0; -0.0; 170.9
189.0; 29.165; 0.27156; 142.8; -0.0; 267.2
192.0; 29.628; 0.31212; 143.4; -0.0; 322.0
195.0; 30.027; 0.31384; 113.0; -0.0; 340.6
198.0; 30.411; 0.25620; 44.6; -0.0; 391.7
201.0; 30.848; 0.13109; 13.4; -0.0; 382.5
204.0; 31.329; -0.02456; 55.6; -0.1; 22.0
207.0; 31.817; -0.16151; 114.9; -0.0; -137.8
210.0; 32.282; -0.25765; 149.9; 0.0; -253.0
213.0; 32.714; -0.32506; 81.6; 0.0; -309.7
216.0; 33.127; -0.36693; 150.3; 0.0; -349.1
219.0; 33.545; -0.38045; 242.6; 0.0; -395.8
222.0; 33.980; -0.36921; 129.4; -0.0; -402.7
225.0; 34.431; -0.33295; 80.9; -0.0; -410.9
228.0; 34.892; -0.28047; 47.7; -0.0; -405.8
231.0; 35.353; -0.22608; 161.6; -123.8; -361.0
234.0; 35.812; -0.17972; 162.1; -123.4; -292.0
237.0; 36.269; -0.14689; 164.5; -121.6; -227.6
240.0; 36.726; -0.12953; 167.2; -119.6; -173.3
243.0; 37.185; -0.12656; 170.0; -117.7; -139.0
246.0; 37.643; -0.13393; 172.8; -115.7; -128.1
249.0; 38.096; -0.14529; 60.5; -0.0; -135.3
252.0; 38.541; -0.15343; 60.6; -0.0; -155.3
255.0; 38.978; -0.15282; 56.9; -0.0; -172.4
258.0; 39.410; -0.14656; 53.4; -0.0; -175.7
261.0; 39.846; -0.13561; 50.2; -0.0; -174.4
264.0; 40.292; -0.11932; 47.0; -0.0; -170.0
267.0; 40.745; -0.09659; 44.0; -0.1; -162.0
270.0; 41.205; -0.07065; 43.0; -0.2; -140.4
273.0; 41.672; -0.04309; 43.5; -0.4; -114.4
276.0; 42.145; -0.01416; 45.2; -0.9; -85.9
279.0; 42.623; 0.01678; 166.5; -119.7; -55.7
282.0; 43.105; 0.05066; 169.2; -118.1; -22.3
285.0; 43.588; 0.08801; 173.2; -115.4; 17.6
288.0; 44.070; 0.12814; 178.6; -111.3; 67.2
291.0; 44.543; 0.16821; 77.9; -0.0; 122.2
294.0; 45.003; 0.20298; 86.3; -0.0; 178.5
297.0; 45.443; 0.22614; 87.9; -0.0; 221.1
300.0; 45.865; 0.23263; 79.4; -0.0; 249.5
303.0; 46.272; 0.21986; 63.0; -0.0; 266.9
306.0; 46.684; 0.19857; 171.1; -116.8; 263.2
309.0; 47.126; 0.17863; 170.1; -117.6; 235.4
312.0; 47.590; 0.16834; 171.8; -116.4; 201.2
315.0; 48.059; 0.17272; 176.2; -113.5; 174.9
318.0; 48.524; 0.19277; 183.9; -108.8; 174.2
321.0; 48.980; 0.22487; 194.8; -102.7; 205.3
324.0; 49.426; 0.26029; 107.4; -0.0; 251.0
327.0; 49.863; 0.28827; 113.9; -0.0; 293.4
330.0; 50.295; 0.29995; 106.8; -0.0; 318.9
333.0; 50.717; 0.28929; 84.0; -0.0; 332.4
336.0; 51.124; 0.25843; 57.5; -0.0; 335.9
339.0; 51.529; 0.20840; 36.9; -0.0; 332.8
342.0; 51.954; 0.13945; 28.2; -0.0; 310.9
345.0; 52.404; 0.05915; 34.7; -0.1; 236.9
348.0; 52.874; -0.02565; 51.9; -0.4; 121.2
351.0; 53.356; -0.10839; 73.9; -0.0; -10.2
354.0; 53.846; -0.18145; 95.7; -0.0; -126.7
357.0; 54.337; -0.23614; 108.8; -0.0; -211.3
360.0; 54.814; -0.26447; 105.7; -0.0; -264.7
363.0; 55.252; -0.25957; 80.7; -0.0; -294.8
366.0; 55.649; -0.21395; 41.6; -0.0; -326.4
369.0; 56.054; -0.11690; 22.3; -0.0; -331.3
372.0; 56.509; 0.01119; 168.2; -118.6; -115.6
375.0; 57.005; 0.13622; 97.3; -0.0; 100.5
378.0; 57.489; 0.23026; 133.4; -0.0; 216.5
381.0; 57.918; 0.29106; 149.4; -0.0; 295.3
384.0; 58.302; 0.32509; 148.1; -0.0; 338.5
387.0; 58.685; 0.33255; 125.7; -0.0; 356.4
390.0; 59.103; 0.30953; 84.5; -0.0; 371.3
393.0; 59.567; 0.25969; 49.5; -0.0; 394.2
396.0; 60.069; 0.19732; 159.9; -125.0; 366.4
399.0; 60.571; 0.13596; 159.1; -125.7; 289.7
402.0; 61.057; 0.08351; 161.4; -123.9; 210.7
405.0; 61.536; 0.04342; 163.8; -122.1; 137.0
408.0; 62.015; 0.01495; 165.2; -120.9; 79.3
411.0; 62.496; -0.00365; 46.3; -0.8; 36.2
414.0; 62.977; -0.01449; 46.1; -0.3; 6.8
417.0; 63.458; -0.01975; 46.0; -0.3; -11.6
420.0; 63.938; -0.02136; 46.1; -0.5; -21.2
423.0; 64.418; -0.02087; 46.6; -1.1; -25.1
426.0; 64.898; -0.01937; 49.8; -4.4; -25.4
429.0; 65.377; -0.01753; 98.6; -53.3; -24.0
432.0; 65.857; -0.01559; 59.1; -13.8; -21.8
435.0; 66.336; -0.01343; 48.4; -3.1; -20.2
438.0; 66.816; -0.01061; 47.0; -1.7; -19.0
441.0; 67.296; -0.00637; 46.9; -1.7; -18.2
444.0; 67.776; 0.00023; 159.5; -114.2; -17.3
447.0; 68.256; 0.01025; 165.8; -120.2; -15.0
450.0; 68.736; 0.02473; 166.5; -120.0; -10.0
453.0; 69.215; 0.04447; 167.7; -119.2; -0.1
456.0; 69.693; 0.06969; 169.9; -117.6; 17.1
459.0; 70.174; 0.09959; 173.3; -115.3; 43.7
462.0; 70.661; 0.13170; 64.7; -0.0; 78.6
465.0; 71.154; 0.16108; 70.4; -0.0; 125.0
468.0; 71.639; 0.18088; 72.1; -0.0; 169.9
471.0; 72.078; 0.18576; 66.3; -0.0; 200.2
474.0; 72.463; 0.17349; 54.6; -0.0; 216.8
477.0; 72.859; 0.15134; 47.4; -0.0; 218.5
480.0; 73.309; 0.12604; 165.7; -120.7; 200.7
483.0; 73.791; 0.10400; 165.7; -120.7; 163.1
486.0; 74.274; 0.08933; 166.2; -120.3; 128.7
489.0; 74.753; 0.08363; 167.2; -119.6; 100.4
492.0; 75.236; 0.08662; 168.5; -118.7; 83.7
495.0; 75.716; 0.09598; 170.0; -117.6; 82.4
498.0; 76.176; 0.10743; 54.5; -0.1; 93.6
501.0; 76.609; 0.11586; 54.8; -0.0; 112.2
504.0; 77.037; 0.11621; 52.2; -0.0; 130.4
507.0; 77.485; 0.10434; 47.5; -0.0; 148.3
510.0; 77.953; 0.08595; 44.9; -0.1; 141.3
513.0; 78.432; 0.06559; 165.0; -121.0; 122.8
516.0; 78.912; 0.04620; 165.1; -121.0; 96.4
519.0; 79.392; 0.02931; 165.3; -120.8; 71.8
522.0; 79.871; 0.01543; 165.4; -120.5; 49.0
525.0; 80.351; 0.00447; 164.9; -119.7; 30.1
528.0; 80.831; -0.00406; 50.1; -4.7; 15.1
531.0; 81.311; -0.01072; 47.3; -1.8; 3.6
534.0; 81.791; -0.01601; 47.0; -1.4; -5.3
537.0; 82.271; -0.02024; 46.7; -1.0; -12.5
540.0; 82.750; -0.02336; 46.3; -0.6; -18.7
543.0; 83.230; -0.02492; 46.0; -0.3; -24.5
546.0; 83.709; -0.02395; 45.7; -0.2; -30.1
549.0; 84.189; -0.01901; 45.4; -0.2; -35.3
552.0; 84.669; -0.00813; 45.4; -0.3; -39.0
555.0; 85.150; 0.01106; 166.1; -120.2; -38.8
558.0; 85.632; 0.04109; 168.2; -118.9; -29.6
561.0; 86.113; 0.08448; 173.6; -115.2; -0.8
