# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 6.26; -0.00708; -0.03483; -0.17036; -0.01202
3.0; 0.480; 6.26; -0.00629; -0.03108; -0.25294; -0.02961
6.0; 0.959; 6.26; -0.00536; -0.02688; -0.38163; -0.04439
9.0; 1.440; 6.26; -0.00409; -0.02138; -0.54603; -0.05559
12.0; 1.920; 6.26; -0.00214; -0.01316; -0.73196; -0.06205
15.0; 2.400; 6.26; 0.00091; -0.00038; -0.91943; -0.06182
18.0; 2.879; 6.26; 0.00548; 0.01896; -1.07996; -0.05202
21.0; 3.358; 6.26; 0.01201; 0.04696; -1.17387; -0.02883
24.0; 3.837; 6.26; 0.02078; 0.08521; -1.14869; 0.01166
27.0; 4.317; 6.26; 0.03178; 0.13420; -0.94345; 0.06946
30.0; 4.804; 6.26; 0.04456; 0.19251; -0.50483; 0.13781
33.0; 5.298; 6.26; 0.05834; 0.25671; 0.18546; 0.20095
36.0; 5.783; 6.26; 0.07012; 0.31517; 1.02836; 0.21399
39.0; 6.218; 6.26; 0.07743; 0.35522; 1.69834; 0.10379
42.0; 6.597; 6.26; 0.07845; 0.36814; 1.89040; -0.10537
45.0; 6.996; 6.26; 0.07199; 0.34894; 1.58838; -0.25506
48.0; 7.451; 6.26; 0.06135; 0.30624; 0.99814; -0.27061
51.0; 7.930; 6.26; 0.04987; 0.25422; 0.43290; -0.20630
54.0; 8.412; 6.26; 0.04121; 0.20937; 0.08273; -0.11008
57.0; 8.892; 6.26; 0.03586; 0.17886; 0.02797; 0.00031
60.0; 9.374; 6.26; 0.03442; 0.16589; 0.29735; 0.10536
63.0; 9.858; 6.26; 0.03649; 0.17011; 0.83015; 0.16351
66.0; 10.323; 6.26; 0.04085; 0.18717; 1.39149; 0.12464
69.0; 10.750; 6.26; 0.04582; 0.20961; 1.68359; -0.00741
72.0; 11.169; 6.26; 0.04884; 0.22645; 1.59782; -0.14361
75.0; 11.615; 6.26; 0.04821; 0.22875; 1.22645; -0.20345
78.0; 12.086; 6.26; 0.04184; 0.20740; 0.76425; -0.18878
81.0; 12.566; 6.26; 0.03357; 0.17188; 0.38034; -0.13515
84.0; 13.046; 6.26; 0.02476; 0.13128; 0.15038; -0.07281
87.0; 13.526; 6.26; 0.01698; 0.09299; 0.07121; -0.02071
90.0; 14.005; 6.26; 0.01029; 0.05953; 0.10363; 0.01555
93.0; 14.485; 6.26; 0.00491; 0.03195; 0.20567; 0.03759
96.0; 14.965; 6.26; 0.00069; 0.01010; 0.34249; 0.04818
99.0; 15.445; 6.26; -0.00259; -0.00696; 0.48639; 0.04972
102.0; 15.925; 6.26; -0.00516; -0.02032; 0.61549; 0.04414
105.0; 16.405; 6.26; -0.00723; -0.03094; 0.71229; 0.03283
108.0; 16.884; 6.26; -0.00888; -0.03945; 0.76244; 0.01670
111.0; 17.364; 6.26; -0.01006; -0.04578; 0.75367; -0.00375
114.0; 17.843; 6.26; -0.01053; -0.04908; 0.67614; -0.02765
117.0; 18.323; 6.26; -0.00982; -0.04754; 0.52506; -0.05316
120.0; 18.803; 6.26; -0.00728; -0.03831; 0.30498; -0.07700
123.0; 19.284; 6.26; -0.00203; -0.01758; 0.03527; -0.09415
126.0; 19.766; 6.26; 0.00690; 0.01917; -0.24345; -0.09749
129.0; 20.247; 6.26; 0.02046; 0.07680; -0.46272; -0.07777
132.0; 20.729; 6.26; 0.03938; 0.16002; -0.52449; -0.02724
135.0; 21.213; 6.26; 0.06374; 0.27182; -0.32713; 0.04292
138.0; 21.702; 6.26; 0.09220; 0.40671; 0.14194; 0.08674
141.0; 22.173; 6.26; 0.12066; 0.53747; 0.70669; 0.06344
144.0; 22.610; 6.26; 0.14068; 0.63326; 1.15443; -0.00241
147.0; 23.021; 6.26; 0.15361; 0.69894; 1.44499; -0.06659
150.0; 23.418; 6.26; 0.16205; 0.74352; 1.60153; -0.12381
153.0; 23.810; 6.25; 0.16754; 0.77307; 1.64854; -0.16276
156.0; 24.204; 6.26; 0.16833; 0.78467; 1.63885; -0.17897
159.0; 24.597; 6.26; 0.15624; 0.74776; 1.55412; -0.21604
162.0; 25.001; 6.26; 0.11625; 0.60745; 1.23270; -0.28622
165.0; 25.455; 6.26; 0.06186; 0.37317; 0.56656; -0.31516
168.0; 25.949; 6.26; 0.01077; 0.11247; -0.28201; -0.27265
171.0; 26.433; 6.26; -0.03153; -0.10577; -1.03976; -0.18463
174.0; 26.875; 6.26; -0.06091; -0.25414; -1.53504; -0.05990
177.0; 27.287; 6.26; -0.07160; -0.32220; -1.68561; 0.07852
180.0; 27.713; 6.26; -0.05594; -0.28506; -1.49821; 0.16432
183.0; 28.176; 6.26; -0.01196; -0.11508; -1.04806; 0.18253
186.0; 28.669; 6.26; 0.03540; 0.12802; -0.41937; 0.18051
189.0; 29.165; 6.26; 0.08166; 0.34698; 0.33974; 0.17627
192.0; 29.628; 6.26; 0.11344; 0.49950; 1.07379; 0.10997
195.0; 30.027; 6.26; 0.13016; 0.58767; 1.45147; -0.08091
198.0; 30.411; 6.26; 0.13233; 0.61627; 1.31361; -0.27282
201.0; 30.848; 6.26; 0.10326; 0.52719; 0.77334; -0.31258
204.0; 31.329; 6.26; 0.04346; 0.28695; 0.08933; -0.25094
207.0; 31.817; 6.26; -0.01239; -0.01676; -0.54990; -0.16605
210.0; 32.282; 6.26; -0.06805; -0.26948; -1.04696; -0.07341
213.0; 32.714; 6.26; -0.10551; -0.44844; -1.35923; 0.02839
216.0; 33.127; 5.99; -0.13576; -0.57441; -1.45045; 0.15209
219.0; 33.545; 5.95; -0.15389; -0.65986; -1.28548; 0.26616
222.0; 33.980; 6.26; -0.15523; -0.71139; -0.92435; 0.29839
225.0; 34.431; 6.26; -0.15520; -0.72607; -0.59390; 0.23331
228.0; 34.892; 6.26; -0.13938; -0.67525; -0.47847; 0.13301
231.0; 35.353; 6.26; -0.11439; -0.57674; -0.55974; 0.05840
234.0; 35.812; 6.26; -0.08947; -0.46312; -0.72410; 0.02427
237.0; 36.269; 6.26; -0.07071; -0.36607; -0.88918; 0.01331
240.0; 36.726; 6.26; -0.05822; -0.29670; -1.03564; 0.00748
243.0; 37.185; 6.26; -0.05254; -0.25878; -1.17937; 0.00058
246.0; 37.643; 6.26; -0.05269; -0.25010; -1.33732; -0.00439
249.0; 38.096; 6.26; -0.05662; -0.26266; -1.50634; -0.00177
252.0; 38.541; 6.26; -0.06197; -0.28555; -1.66361; 0.01236
255.0; 38.978; 6.26; -0.06492; -0.30247; -1.77053; 0.03991
258.0; 39.410; 6.26; -0.06388; -0.30322; -1.78960; 0.07394
261.0; 39.846; 6.26; -0.06078; -0.29202; -1.71799; 0.09836
264.0; 40.292; 6.26; -0.05568; -0.27114; -1.58905; 0.10504
267.0; 40.745; 6.26; -0.04820; -0.23960; -1.43838; 0.10011
270.0; 41.205; 6.26; -0.03787; -0.19533; -1.27625; 0.09375
273.0; 41.672; 6.26; -0.02669; -0.14409; -1.09479; 0.09002
276.0; 42.145; 6.26; -0.01498; -0.08947; -0.88505; 0.08792
279.0; 42.623; 6.26; -0.00276; -0.03223; -0.64172; 0.08701
282.0; 43.105; 6.26; 0.01027; 0.02859; -0.35780; 0.08820
285.0; 43.588; 6.26; 0.02450; 0.09476; -0.02503; 0.09052
288.0; 44.070; 6.26; 0.04009; 0.16745; 0.35529; 0.08926
291.0; 44.543; 6.26; 0.05660; 0.24531; 0.75974; 0.07725
294.0; 45.003; 6.26; 0.07329; 0.32465; 1.14386; 0.05032
297.0; 45.443; 6.26; 0.08719; 0.39352; 1.46099; 0.01143
300.0; 45.865; 6.26; 0.09630; 0.44171; 1.67252; -0.04324
303.0; 46.272; 6.26; 0.09824; 0.45974; 1.71266; -0.12630
306.0; 46.684; 6.26; 0.09150; 0.44068; 1.51705; -0.20287
309.0; 47.126; 6.26; 0.08098; 0.39813; 1.15911; -0.20670
312.0; 47.590; 6.26; 0.07281; 0.35721; 0.86098; -0.14227
315.0; 48.059; 6.26; 0.06952; 0.33448; 0.76199; -0.07011
318.0; 48.524; 6.26; 0.07275; 0.34005; 0.83571; -0.03036
321.0; 48.980; 6.26; 0.08218; 0.37598; 0.98745; -0.02927
324.0; 49.426; 6.26; 0.09579; 0.43511; 1.13669; -0.04998
327.0; 49.863; 6.26; 0.11092; 0.50429; 1.26965; -0.06332
330.0; 50.295; 6.26; 0.12221; 0.56070; 1.42313; -0.05920
333.0; 50.717; 6.26; 0.12693; 0.59003; 1.60136; -0.06058
336.0; 51.124; 6.26; 0.12176; 0.57899; 1.72635; -0.09327
339.0; 51.529; 6.26; 0.10701; 0.52544; 1.70856; -0.13854
342.0; 51.954; 6.26; 0.08306; 0.42922; 1.54675; -0.15092
345.0; 52.404; 6.26; 0.05113; 0.29211; 1.31571; -0.12642
348.0; 52.874; 6.26; 0.01682; 0.13118; 1.06442; -0.09690
351.0; 53.356; 6.26; -0.01742; -0.03726; 0.76975; -0.08387
354.0; 53.846; 6.26; -0.05011; -0.20010; 0.37892; -0.09088
357.0; 54.337; 6.26; -0.07917; -0.34362; -0.14792; -0.11347
360.0; 54.814; 6.26; -0.10116; -0.45289; -0.78676; -0.12107
363.0; 55.252; 6.26; -0.11235; -0.51458; -1.34286; -0.04811
366.0; 55.649; 6.26; -0.10914; -0.51683; -1.55221; 0.10598
