# e0b39751-192a-48b1-9491-26a3ba2c4d68
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -12.6573685; -40.1003371; -2.1271078; -0.0049597; 6.2585603; 0.0000002
1.9998183; -10.9644106; -41.1644991; -2.1367265; -0.0046608; 6.2585603; 0.0000001
3.9996367; -9.2812693; -42.2444863; -2.1456978; -0.0042595; 6.2585604; 0.0000000
5.9994550; -7.6072722; -43.3388285; -2.1537129; -0.0037561; 6.2585604; 0.0000000
7.9992734; -5.9416108; -44.4454701; -2.1604722; -0.0030034; 6.2585604; 0.0000000
9.9990917; -4.2824346; -45.5621859; -2.1656244; -0.0020430; 6.2585604; 0.0000000
11.9989101; -2.6280424; -46.6854864; -2.1685355; -0.0008684; 6.2585604; -0.0000000
13.9987284; -0.9749565; -47.8116104; -2.1684850; 0.0009264; 6.2585604; -0.0000000
15.9985468; 0.6801333; -48.9345326; -2.1646225; 0.0031486; 6.2585604; -0.0000000
17.9983651; 2.3415712; -50.0464522; -2.1556586; 0.0058239; 6.2585604; 0.0000000
19.9981834; 4.0172429; -51.1390677; -2.1403210; 0.0095250; 6.2585604; 0.0000000
21.9980018; 5.7128263; -52.1991065; -2.1173401; 0.0136824; 6.2585604; 0.0000000
23.9978201; 7.4364064; -53.2120445; -2.0853481; 0.0183282; 6.2585604; 0.0000000
25.9976385; 9.1936579; -54.1607077; -2.0451131; 0.0218550; 6.2585604; 0.0000000
27.9974568; 10.9902286; -55.0312645; -1.9968559; 0.0280835; 6.2585604; 0.0000000
29.9972752; 12.8411248; -55.8025854; -1.9314486; 0.0369746; 6.2585604; 0.0000000
31.9970935; 14.7250876; -56.4355591; -1.8588351; 0.0357936; 6.2585604; -0.0000000
33.9969119; 16.6861394; -56.9412413; -1.7876152; 0.0358780; 6.2585604; -0.0000000
35.9967302; 18.6504504; -57.2948353; -1.7059611; 0.0488370; 6.2585604; -0.0000000
37.9965486; 20.7131048; -57.4600451; -1.5911935; 0.0637612; 6.2585604; -0.0000000
39.9963669; 22.6506198; -57.3505075; -1.4181662; 0.1142951; 6.2585603; 0.0000000
41.9961852; 24.4898785; -56.8890838; -1.2478038; 0.0709067; 6.2585604; 0.0000000
43.9960036; 26.3781902; -56.1205540; -1.1301135; 0.0427545; 6.2585604; 0.0000000
45.9958219; 28.1743185; -55.1907512; -1.0601199; 0.0303865; 6.2585604; 0.0000000
47.9956403; 29.9079432; -54.1478665; -0.9977953; 0.0316913; 6.2585604; 0.0000000
49.9954586; 31.5485822; -53.0128068; -0.9330600; 0.0319926; 6.2585604; 0.0000000
51.9952770; 33.1170368; -51.7745366; -0.8734012; 0.0276123; 6.2585604; 0.0000000
53.9950953; 34.6120423; -50.4515456; -0.8190792; 0.0276888; 6.2585604; 0.0000000
55.9949137; 36.0274897; -49.0533938; -0.7649029; 0.0240733; 6.2585604; 0.0000000
57.9947320; 37.3838413; -47.5826868; -0.7291682; 0.0117341; 6.2585604; -0.0000000
59.9945503; 38.7023126; -46.0741180; -0.7058917; 0.0144394; 6.2585604; -0.0000000
61.9943687; 39.9903299; -44.5092673; -0.6685061; 0.0232586; 6.2585604; -0.0000000
63.9941870; 41.1896113; -42.8987382; -0.6051315; 0.0431336; 6.2585604; -0.0000000
65.9940054; 42.2425002; -41.1910420; -0.4940566; 0.0612615; 6.2585604; -0.0000000
67.9938237; 43.0631200; -39.4337766; -0.3831977; 0.0509675; 6.2585604; 0.0000000
69.9936421; 43.7276601; -37.5518809; -0.3026034; 0.0324967; 6.2585604; 0.0000000
71.9934604; 44.2662935; -35.6109400; -0.2390854; 0.0315708; 6.2585604; 0.0000000
73.9932788; 44.6785830; -33.6589153; -0.1781597; 0.0292304; 6.2585604; 0.0000000
75.9930971; 44.9779019; -31.6712538; -0.1221037; 0.0248871; 6.2585604; 0.0000000
77.9929155; 45.1773918; -29.6783513; -0.0798945; 0.0174947; 6.2585604; 0.0000000
79.9927338; 45.3037368; -27.6799864; -0.0466294; 0.0163062; 6.2585604; 0.0000000
81.9925521; 45.3648172; -25.6822251; -0.0149626; 0.0147757; 6.2585604; 0.0000000
83.9923705; 45.3673138; -23.6831893; 0.0113996; 0.0115796; 6.2585604; 0.0000000
85.9921888; 45.3234532; -21.6838196; 0.0314376; 0.0084740; 6.2585604; 0.0000000
87.9920072; 45.2457167; -19.6857677; 0.0453638; 0.0055944; 6.2585604; 0.0000000
89.9918255; 45.1455309; -17.6885641; 0.0540412; 0.0030831; 6.2585604; 0.0000000
91.9916439; 45.0327881; -15.6918356; 0.0580982; 0.0010333; 6.2585604; 0.0000000
93.9914622; 44.9159116; -13.6954567; 0.0582400; -0.0007918; 6.2585604; 0.0000000
95.9912806; 44.8021290; -11.6989512; 0.0550993; -0.0023498; 6.2585604; -0.0000000
97.9910989; 44.6975783; -9.7017714; 0.0490873; -0.0036260; 6.2585604; -0.0000000
99.9909172; 44.6075135; -7.7040815; 0.0406326; -0.0047767; 6.2585604; -0.0000000
101.9907356; 44.5364950; -5.7055786; 0.0300739; -0.0057827; 6.2585604; -0.0000000
103.9905539; 44.4885256; -3.7064198; 0.0176192; -0.0066567; 6.2585604; -0.0000000
105.9903723; 44.4671541; -1.7067668; 0.0035211; -0.0073308; 6.2585604; -0.0000000
107.9901906; 44.4750211; 0.2930692; -0.0115135; -0.0077048; 6.2585604; 0.0000000
109.9900090; 44.5135376; 2.2922722; -0.0270262; -0.0077713; 6.2585604; 0.0000000
111.9898273; 44.5830933; 4.2907564; -0.0424879; -0.0075318; 6.2585604; 0.0000000
113.9896457; 44.6826441; 6.2882764; -0.0568800; -0.0068597; 6.2585604; 0.0000000
115.9894640; 44.8090705; 8.2835915; -0.0691095; -0.0052550; 6.2585604; 0.0000000
117.9892824; 44.9564595; 10.2781781; -0.0776752; -0.0029501; 6.2585604; 0.0000000
119.9891007; 45.1153632; 12.2719353; -0.0802988; 0.0003230; 6.2585604; 0.0000000
121.9889190; 45.2721355; 14.2657706; -0.0749217; 0.0052929; 6.2585604; 0.0000000
123.9887374; 45.4077173; 16.2613149; -0.0587549; 0.0114647; 6.2585604; 0.0000000
125.9885557; 45.4970049; 18.2588924; -0.0279531; 0.0193500; 6.2585604; 0.0000000
127.9883741; 45.5086716; 20.2592156; 0.0191398; 0.0278499; 6.2585604; 0.0000000
129.9881924; 45.4093030; 22.2529776; 0.0830081; 0.0351889; 6.2585604; 0.0000000
131.9880108; 45.1709372; 24.2381563; 0.1571485; 0.0386459; 6.2585604; 0.0000000
133.9878291; 44.7703368; 26.2118297; 0.2500675; 0.0573950; 6.2585604; 0.0000000
135.9876475; 44.1432620; 28.1168855; 0.3965007; 0.0874666; 6.2585604; -0.0000000
137.9874658; 43.2056076; 29.8643837; 0.5982800; 0.1170490; 6.2585604; -0.0000001
139.9872841; 41.8976367; 31.3654946; 0.8326118; 0.1114889; 6.2585604; -0.0000002
141.9871025; 40.2819320; 32.5495130; 1.0406283; 0.1017965; 6.2585603; -0.0000005
143.9869208; 38.4592951; 33.3692748; 1.2635037; 0.1230969; 6.2585601; -0.0000013
145.9867392; 36.5076916; 33.7237843; 1.5229158; 0.1356238; 6.2585597; -0.0162673
147.9865575; 34.5271325; 33.5555553; 1.7838240; 0.1230936; 6.2533596; 0.0076576
149.9863759; 32.6354348; 32.9066334; 2.0150055; 0.1125113; 6.2558080; 0.0086102
151.9861942; 30.9312287; 31.8381751; 2.2449856; 0.1063641; 6.2585599; 0.0000012
153.9860126; 29.5142084; 30.4572277; 2.4388029; 0.1039711; 6.2585603; 0.0000002
155.9858309; 28.4085434; 28.8061864; 2.6661657; 0.1084778; 6.2585603; 0.0000001
157.9856493; 27.6673466; 26.9884192; 2.8266002; 0.0593237; 6.2585604; 0.0000000
159.9854676; 27.1316845; 25.0461192; 2.9023956; 0.0145371; 6.2585604; 0.0000000
161.9852859; 26.6531171; 23.0645897; 2.8949209; -0.0188134; 6.2585604; -0.0000000
163.9851043; 26.1147419; 21.1171874; 2.8442067; -0.0326386; 6.2585604; -0.0000000
165.9849226; 25.4463580; 19.2070889; 2.7609648; -0.0473854; 6.2585604; -0.0000000
167.9847410; 24.6249300; 17.4266228; 2.6511899; -0.0673649; 6.2585603; -0.0000000
169.9845593; 23.5702254; 15.7496291; 2.5095319; -0.0660832; 6.2585603; 0.0000000
171.9843777; 22.3212149; 14.2275690; 2.4094124; -0.0357281; 6.2585604; 0.0000000
173.9841960; 20.9572588; 12.7883057; 2.3652634; -0.0104817; 6.2585604; 0.0000000
175.9840144; 19.5229428; 11.3418545; 2.3614304; 0.0080209; 6.2585604; 0.0000000
177.9838327; 18.1369205; 9.8965078; 2.4003820; 0.0306651; 6.2585604; -0.0000000
179.9836510; 16.8320516; 8.3572543; 2.4828735; 0.0504134; 6.2585604; -0.0000000
181.9834694; 15.7015794; 6.7076626; 2.6066717; 0.0715316; 6.2585604; -0.0000002
183.9832877; 14.7874615; 4.8771670; 2.7515212; 0.0759897; 6.2585603; -0.0000004
185.9831061; 14.1962773; 2.9582072; 2.9517509; 0.1251242; 6.2585602; -0.0000000
187.9829244; 14.0732800; 1.0852036; -3.0725522; 0.1524042; 6.2585602; 0.0000004
189.9827428; 14.4517154; -0.8434868; -2.8519367; 0.0743478; 6.2585603; 0.0000002
191.9825611; 15.1778699; -2.7849379; -2.7202105; 0.0577989; 6.2585603; 0.0000000
193.9823795; 16.0799892; -4.5655959; -2.6338411; 0.0312816; 6.2585604; 0.0000000
195.9821978; 17.1088339; -6.3112576; -2.5922841; 0.0069373; 6.2585604; 0.0000000
197.9820161; 18.1362333; -8.0048827; -2.6120060; -0.0284795; 6.2585604; -0.0000001
199.9818345; 19.0806609; -9.7736545; -2.7005604; -0.0592131; 6.2585604; -0.0000003
201.9816528; 19.8150343; -11.6413054; -2.8359309; -0.0687008; 6.2585603; -0.0892482
203.9814712; 20.2784303; -13.5853056; -2.9846684; -0.0850273; 6.2299772; -0.6681259
205.9812895; 20.3994962; -15.5757822; 3.0933608; -0.1235307; 6.0116849; -0.1641981
207.9811079; 20.0458549; -17.5132738; 2.8272125; -0.1275269; 5.9568132; 0.5159766
209.9809262; 19.2301640; -19.2994639; 2.6021026; -0.1139353; 6.1275886; 0.4055950
211.9807446; 18.0048689; -20.8934364; 2.3721180; -0.1089188; 6.2585601; 0.0000006
213.9805629; 16.4494794; -22.1846267; 2.1553001; -0.1073380; 6.2585603; 0.0000001
215.9803813; 14.6816476; -23.1109178; 1.9555351; -0.0954100; 6.2585603; 0.0000001
217.9801996; 12.7557801; -23.6843412; 1.7665459; -0.0902575; 6.2585604; 0.0000000
219.9800179; 10.7789643; -23.8995448; 1.5940804; -0.0833883; 6.2585604; 0.0000000
221.9798363; 8.7827216; -23.7876959; 1.4404161; -0.0689725; 6.2585604; 0.0000000
