# x_m,y_m,w_tr_right_m,w_tr_left_m
-12.5618,-39.9413,2.503,2.503
-10.6266,-41.0954,2.4976,2.4976
-8.695,-42.2473,2.4921,2.4921
-6.7634,-43.3993,2.4866,2.4866
-4.8319,-44.5512,2.4811,2.4811
-2.9003,-45.7032,2.4756,2.4756
-0.9687,-46.8551,2.4701,2.4701
0.9628,-48.007,2.4646,2.4646
2.8944,-49.159,2.459,2.459
4.826,-50.3109,2.4535,2.4535
6.7576,-51.4629,2.448,2.448
8.6891,-52.6148,2.4425,2.4425
10.6207,-53.7668,2.437,2.437
12.5523,-54.9187,2.4315,2.4315
14.4838,-56.0707,2.426,2.426
16.4154,-57.2226,2.4205,2.4205
18.347,-58.3746,2.415,2.415
19.5575,-58.8687,2.494,2.494
21.2108,-59.2147,2.6297,2.6297
23.2544,-59.1991,2.7847,2.7847
24.4703,-58.9587,2.8858,2.8858
26.3787,-58.0876,2.9926,2.9926
27.5637,-57.1002,2.9888,2.9888
29.2135,-55.5718,2.9796,2.9796
30.8632,-54.0434,2.9705,2.9705
32.513,-52.515,2.9614,2.9614
34.1628,-50.9866,2.9523,2.9523
35.8126,-49.4582,2.9432,2.9432
37.4624,-47.9298,2.9341,2.9341
39.1122,-46.4014,2.925,2.925
40.7619,-44.873,2.9159,2.9159
42.3969,-43.3312,2.8869,2.8869
43.6599,-41.9608,2.8812,2.8812
44.6883,-40.5289,2.882,2.882
45.3553,-39.158,2.8428,2.8428
45.5173,-37.2463,2.6215,2.6215
45.5184,-35.5135,2.5659,2.5659
45.5008,-33.2645,2.563,2.563
45.4833,-31.0156,2.5601,2.5601
45.4658,-28.7667,2.5572,2.5572
45.4482,-26.5177,2.5543,2.5543
45.4307,-24.2688,2.5514,2.5514
45.4131,-22.0199,2.5485,2.5485
45.3956,-19.7709,2.5456,2.5456
45.3781,-17.522,2.5427,2.5427
45.3605,-15.2731,2.5398,2.5398
45.343,-13.0241,2.5369,2.5369
45.3255,-10.7752,2.534,2.534
45.3079,-8.5263,2.5311,2.5311
45.2904,-6.2773,2.5282,2.5282
45.2689,-4.038,2.5274,2.5274
45.2453,-1.7891,2.527,2.527
45.2218,0.4598,2.5266,2.5266
45.1982,2.7087,2.5262,2.5262
45.1746,4.9576,2.5258,2.5258
45.1511,7.2064,2.5254,2.5254
45.1275,9.4553,2.525,2.525
45.104,11.7042,2.5245,2.5245
45.0804,13.9531,2.5241,2.5241
45.0568,16.202,2.5237,2.5237
45.0333,18.4509,2.5233,2.5233
45.0097,20.6998,2.5229,2.5229
44.9861,22.9486,2.5225,2.5225
44.9626,25.1975,2.5221,2.5221
44.7817,27.0988,2.5374,2.5374
44.4968,28.5934,2.5956,2.5956
43.5099,30.5494,2.4829,2.4829
42.4443,32.1941,2.4111,2.4111
41.5631,33.082,2.4223,2.4223
39.9201,34.3057,2.4926,2.4926
38.3898,34.9144,2.5529,2.5529
36.896,35.2945,2.5645,2.5645
34.9238,35.3629,2.6234,2.6234
33.07,34.9418,2.5505,2.5505
31.7376,34.2409,2.4612,2.4612
30.2508,33.3722,2.4624,2.4624
28.8795,32.1641,2.5008,2.5008
27.8557,30.8148,2.5071,2.5071
27.1937,29.3231,2.4744,2.4744
26.8269,27.2499,2.3823,2.3823
26.8236,25.6102,2.4156,2.4156
26.9234,23.4313,2.4661,2.4661
27.1164,21.1907,2.4775,2.4775
26.7426,18.1913,2.5104,2.5104
25.4301,15.4522,2.55,2.55
23.7507,13.3932,2.5574,2.5574
21.5989,11.6716,2.5482,2.5482
19.7452,10.2846,2.5226,2.5226
17.9505,8.9494,2.4715,2.4715
16.2822,7.61,2.4448,2.4448
14.606,6.2643,2.4226,2.4226
13.5765,4.9961,2.4594,2.4594
12.9045,3.7134,2.4221,2.4221
12.4878,2.1222,2.433,2.433
12.5128,0.5069,2.4025,2.4025
13.0254,-0.9642,2.3296,2.3296
13.9608,-2.4262,2.3614,2.3614
15.3806,-4.091,2.3433,2.3433
16.8919,-5.7553,2.3109,2.3109
18.4645,-7.5675,2.2719,2.2719
19.7885,-9.3829,2.3278,2.3278
21.1759,-11.7455,2.2874,2.2874
21.9953,-14.4233,2.4309,2.4309
21.4627,-18.1569,2.5718,2.5718
19.5553,-20.742,2.5145,2.5145
17.4313,-22.3771,2.5925,2.5925
14.7901,-23.679,2.5842,2.5842
12.6397,-24.311,2.5758,2.5758
9.3386,-24.5136,2.528,2.528
6.9516,-24.1957,2.493,2.493
4.7928,-23.6092,2.6267,2.6267
2.127,-22.6646,2.6426,2.6426
-0.1002,-21.5849,2.5886,2.5886
-2.1968,-20.3414,2.5556,2.5556
-4.2971,-18.8131,2.5273,2.5273
-6.1756,-17.0223,2.5138,2.5138
-7.5987,-15.2847,2.5562,2.5562
-8.9486,-13.064,2.6304,2.6304
-10.0903,-10.5523,2.6847,2.6847
-10.8877,-8.4495,2.6987,2.6987
-11.5094,-5.6798,2.6745,2.6745
-11.6962,-3.0491,2.5924,2.5924
-11.474,-0.4998,2.5943,2.5943
-11.0293,2.0046,2.5906,2.5906
-10.5127,4.1933,2.5752,2.5752
-9.996,6.382,2.5598,2.5598
-9.4794,8.5707,2.5443,2.5443
-8.9627,10.7594,2.5289,2.5289
-8.446,12.9481,2.5135,2.5135
-7.9412,15.1013,2.5186,2.5186
-7.4304,17.2915,2.5305,2.5305
-6.9301,19.4471,2.5401,2.5401
-6.6831,21.3868,2.5856,2.5856
-6.6017,23.3243,2.5787,2.5787
-6.7271,25.4622,2.5582,2.5582
-7.0969,27.1451,2.591,2.591
-7.7716,29.0307,2.5655,2.5655
-8.4797,30.4486,2.6146,2.6146
-9.5989,31.9381,2.6664,2.6664
-10.8833,33.1543,2.6335,2.6335
-12.6226,34.2303,2.4748,2.4748
-14.2954,34.9368,2.4636,2.4636
-16.0269,35.5743,2.477,2.477
-18.2178,36.082,2.4868,2.4868
-20.1876,36.3585,2.4899,2.4899
-22.2653,36.6019,2.4885,2.4885
-24.2742,36.5959,2.5485,2.5485
-26.3062,36.4947,2.5785,2.5785
-28.5408,36.2477,2.601,2.601
-30.2991,35.7363,2.5395,2.5395
-32.0072,35.1383,2.477,2.477
-33.7907,34.1927,2.578,2.578
-35.1717,33.088,2.5773,2.5773
-36.2366,31.9847,2.5627,2.5627
-37.2608,30.1933,2.606,2.606
-37.9232,28.5557,2.6033,2.6033
-38.3654,26.8958,2.5873,2.5873
-38.6086,24.804,2.6008,2.6008
-38.4107,23.198,2.6263,2.6263
-37.9183,21.2479,2.5393,2.5393
-37.1824,19.4003,2.5219,2.5219
-36.3508,17.3107,2.5179,2.5179
-35.5191,15.2212,2.5138,2.5138
-34.6874,13.1316,2.5098,2.5098
-33.8558,11.042,2.5057,2.5057
-33.0241,8.9524,2.5017,2.5017
-32.1925,6.8629,2.4976,2.4976
-31.6507,3.9859,2.493,2.493
-32.1547,0.629,2.5342,2.5342
-34.2893,-2.4051,2.5167,2.5167
-36.5771,-3.8634,2.5201,2.5201
-38.6472,-4.7414,2.5464,2.5464
-40.7172,-5.6193,2.5726,2.5726
-42.7873,-6.4973,2.5989,2.5989
-44.5793,-7.2893,2.6081,2.6081
-45.8694,-8.1763,2.7917,2.7917
-46.8806,-9.5837,2.6774,2.6774
-47.3718,-10.9989,2.4951,2.4951
