s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0,-0.6815899,-1.2123317,-2.0943513,-0.006267,14.0,0.0
1.9946161,1.0397616,-2.2205216,-2.1069433,-0.0063574,14.0,0.0
3.9892322,2.7478964,-3.2502815,-2.1197133,-0.0064466,14.0,0.0
5.9838483,4.4425615,-4.3018615,-2.1326553,-0.0065308,14.0,0.0
7.9784644,6.1236149,-5.3755721,-2.1457638,-0.0066126,14.0,0.0
9.9730805,7.7903156,-6.4713333,-2.1590371,-0.0066977,14.0,0.0
11.9676966,9.4420953,-7.5891733,-2.1724863,-0.0067894,14.0,0.0
13.9623127,11.0788353,-8.7294371,-2.1861023,-0.0068619,14.0,0.0
15.9569288,12.7000789,-9.8920106,-2.1994102,-0.0059867,14.0,0.0
17.9515449,14.3066967,-11.0731774,-2.2094629,-0.0040974,14.0,0.0
19.9461609,15.9081738,-12.2641602,-2.2075112,0.0062612,14.0,0.0
21.940777,17.5245883,-13.4349887,-2.1840691,0.0175847,14.0,0.0
23.9353931,19.1779322,-14.5459753,-2.1366823,0.0301237,14.0,0.0
25.9300092,20.8934755,-15.553446,-2.0622022,0.0442371,14.0,0.0
27.9246253,22.6823065,-16.40543,-1.967293,0.0476513,14.0,0.0
29.9192414,24.5698523,-17.0948559,-1.8763696,0.0426556,14.0,-0.1724119
31.9138575,26.4853464,-17.6133239,-1.7945747,0.0405589,13.9754144,-0.583263
33.9084736,28.4626343,-17.9783887,-1.7113062,0.0431787,13.8919199,-0.9964536
35.9030897,30.4481781,-18.1683302,-1.6186347,0.0504033,13.7481036,-1.0866085
37.8977058,32.5011012,-18.1576738,-1.5127448,0.0521412,13.5895408,-1.1738035
39.8923219,34.4684308,-17.931342,-1.3966902,0.0504625,13.4161486,-0.7087489
41.886938,36.3676373,-17.5810871,-1.4317758,-0.0843893,13.3103599,-0.8610682
43.8815541,38.3545547,-17.3711384,-1.4556911,0.0397048,13.1806934,-1.0366306
45.8761702,40.2448191,-17.0790002,-1.3791883,0.0408301,13.0228768,-1.3472582
47.8707863,42.2566852,-16.5961221,-1.2910731,0.0410975,12.8148661,-1.3172254
49.8654024,44.1630923,-15.9629945,-1.2085233,0.0432221,12.608175,-1.6469354
51.8600185,46.0375682,-15.1448327,-1.1028892,0.0635469,12.3448802,-1.1226601
53.8546346,47.7045005,-14.144341,-0.9450037,0.1005465,12.1621345,-0.2697142
55.8492507,49.1851956,-12.8247807,-0.7429797,0.093872,12.1178201,0.6048265
57.8438668,50.3916837,-11.2801542,-0.5955977,0.0573689,12.21697,1.2085361
59.8384828,51.4467248,-9.5452468,-0.5050377,0.0339975,12.4127148,1.8534632
61.8330989,52.3607803,-7.7635046,-0.445406,0.0266313,12.7070604,2.5373167
63.827715,53.1854686,-5.9151665,-0.3954872,0.0214175,13.0992873,2.3019486
65.8223311,53.9156589,-4.0731709,-0.3627181,0.0110395,13.4452347,1.8205656
67.8169472,54.6232184,-2.200126,-0.373446,-0.0285202,13.7126582,1.2758156
69.8115633,55.3980707,-0.4298315,-0.4509966,-0.0279153,13.8969968,0.6944845
71.8061794,56.2931384,1.3566587,-0.4659429,0.0060291,13.9963202,0.0258247
73.8007955,57.1752457,3.1500772,-0.4457077,0.0138368,14.0,0.0
75.7954116,58.008547,4.9657173,-0.413926,0.0171063,14.0,0.0
77.7900277,58.7849907,6.823623,-0.3768647,0.0198145,14.0,0.0
79.7846438,59.4818028,8.6984183,-0.3334354,0.0240413,14.0,0.0
81.7792599,60.0878833,10.6077125,-0.2796147,0.029091,14.0,0.0
83.773876,60.5771042,12.526881,-0.2184139,0.0326143,14.0,0.0
85.7684921,60.9476014,14.4922214,-0.1550343,0.0303882,14.0,0.0
87.7631082,61.1974079,16.4666568,-0.0977154,0.0272806,14.0,0.0
89.7577243,61.3397845,18.4537104,-0.0463522,0.0242475,14.0,0.0
91.7523404,61.3862626,20.4479162,-0.0014323,0.0207144,14.0,0.0
93.7469565,61.3504582,22.4407271,0.0361088,0.01695,14.0,0.0
95.7415726,61.247229,24.4331262,0.0661703,0.0131876,14.0,0.0
97.7361887,61.0917625,26.4207004,0.0886947,0.0094118,14.0,0.0
99.7308047,60.8988915,28.4061919,0.1037378,0.0056818,14.0,0.0
101.7254208,60.6834593,30.3898283,0.1114017,0.0020073,14.0,0.0
103.7200369,60.4601665,32.3718054,0.1117618,-0.0016439,14.0,0.0
105.714653,60.2433117,34.3550669,0.1048493,-0.0052776,14.0,0.0
107.7092691,60.0474152,36.3398212,0.090708,-0.0089079,14.0,0.0
109.7038852,59.8862724,38.3281991,0.070115,-0.0116859,14.0,0.0
111.6985013,59.7712842,40.3190803,0.0450319,-0.0122494,14.0,0.0
113.6931174,59.7043533,42.312507,0.0228434,-0.009997,14.0,0.0
115.6877335,59.6764788,44.3065844,0.0062916,-0.00652,14.0,0.0
117.6823496,59.6745394,46.3011909,-0.0031672,-0.0029717,14.0,0.0
119.6769657,59.6844323,48.2960405,-0.0055803,0.0005498,14.0,-0.4393658
121.6715818,59.692131,50.2902843,-0.000969,0.0040733,13.9372618,-1.273987
123.6661979,59.6836356,52.2850578,0.0106402,0.0075399,13.7537281,-2.040512
125.660814,59.6451502,54.2794739,0.0290828,0.010953,13.4545517,-2.6918613
127.6554301,59.5620822,56.2711564,0.0561231,0.0163344,13.049387,-3.2022376
129.6500462,59.4139278,58.2600548,0.0951335,0.0243424,12.5503798,-3.2677365
131.6446623,59.1683332,60.2400312,0.1556737,0.0363318,12.0198283,-2.9971819
133.6392784,58.7812729,62.1839132,0.2424075,0.0509364,11.5117252,-2.8086027
135.6338945,58.197743,64.0922906,0.3533095,0.0572571,11.0143384,-2.7510909
137.6285105,57.3995415,65.9239608,0.4695052,0.0599016,10.5043281,-2.7627686
139.6231266,56.3502446,67.7132754,0.5876985,0.0530111,9.9659211,-2.2162738
141.6177427,55.1698689,69.2855866,0.7070256,0.0664852,9.512011,-1.7090814
143.6123588,53.8583658,70.7112156,0.7420089,-0.0183055,9.1466076,-0.9534834
145.6069749,52.4205022,72.0833861,0.945592,0.1916474,8.9362612,-0.2778759
147.601591,50.6201806,72.9614061,1.2643045,0.1356259,8.8740212,0.4315277
149.5962071,48.6268887,73.2816599,1.5640188,0.1460101,8.9704914,0.5077804
151.5908232,46.6867479,73.0474201,1.8114212,0.1340625,9.0826962,0.5668576
153.5854393,44.8557918,72.2993147,2.1134531,0.1556338,9.20634,0.7734886
155.5800554,43.3312125,71.0145695,2.4330036,0.1584773,9.3724235,1.2711765
157.5746715,42.2403695,69.3487987,2.662549,0.0745741,9.6391566,1.8034338
159.5692876,41.4391318,67.5589648,2.7643667,0.0291744,10.0053814,2.529546
161.5639037,40.7487584,65.7169468,2.7972861,0.0130725,10.4975522,3.2789851
163.5585198,40.081974,63.7798076,2.82172,0.0074097,11.1031183,3.4084193
165.5531359,39.4532844,61.8788001,2.8159666,-0.0129723,11.6994107,2.9939343
167.547752,38.7513912,59.9324487,2.7696294,-0.0296383,12.1991684,2.5171713
169.5423681,37.9791498,58.150273,2.6843956,-0.0586403,12.6040188,1.6938452
171.5369842,37.0515635,56.4090215,2.658039,0.0517224,12.8692825,0.3807401
173.5316003,36.1583292,54.7005895,2.6209021,-0.0665859,12.9281589,-0.9049688
175.5262164,35.0667744,53.0426913,2.5109803,-0.037254,12.787774,-2.0606703
177.5208324,33.7841922,51.4045531,2.4469655,-0.0260119,12.4622097,-3.1227806
179.5154485,32.4530067,49.8725752,2.4112834,-0.0085903,11.9519527,-3.3898747
181.5100646,31.1246909,48.3945331,2.4130213,0.0073139,11.3721668,-3.0916986
183.5046807,29.8411862,46.92544,2.4377466,0.023162,10.8163151,-2.3939091
185.4992968,28.625091,45.3542958,2.5490214,0.0860266,10.3654626,-1.5884586
187.4939129,27.6422416,43.5377296,2.7440949,0.1021598,10.0551521,-0.4253938
